date,DAY_OF_THE_WEEK,HOSPITAL_CENSUS_M,INDX_UCDH_TEST_PT_CNT,INDX_UCDH_POS_PT_CNT,INDX_UCDH_POSITIVITY_RATE,INDX_POS_PT_NEW_ADM_CNT,INDX_POS_PT_NEW_ADM_PCT,INDX_POS_PT_IN_HOUSE_D6_CNT,INDX_POS_PT_IN_HOUSE_D6_PCT,INDX_POS_PT_IN_HOUSE_D7_CNT,INDX_POS_PT_IN_HOUSE_D7_PCT,INDX_POS_PT_ALL_ADM_CNT,INDX_POS_PT_ALL_ADM_PCT,OUTREACH_TEST_CNT,OUTREACH_POS_TEST_CNT,OUTREACH_POSITIVITY_RATE,COVID_RULE_OUT_PT_CNT_M,COVID_POS_PT_CNT_EVER,COVID_PT_CNT_M,COVID_NEW_ADM_CNT,COVID_NEW_ADM_FLAG,COVID_DISCHARGE_CNT,COVID_DISCHARGE_PCT,DISCH_ICU_VENT_CNT,DISCH_ICU_NO_VENT_CNT,DISCH_MED_SURG_HFNC_CNT,DISCH_MED_SURG_NO_HFNC_CNT,COVID_MALE_CNT_M,COVID_MALE_PCT_M,COVID_AVG_AGE_M,COVID_MED_SURG_CNT_M,COVID_MED_SURG_HFNC_CNT_M,COVID_MED_SURG_HFNC_PCT_M,COVID_MED_SURG_NO_HFNC_CNT_M,COVID_MED_SURG_NO_HFNC_PCT_M,COVID_ICU_CNT_M,COVID_ICU_VENT_CNT_M,COVID_ICU_VENT_PCT_M,COVID_ICU_NO_VENT_CNT_M,COVID_ICU_NO_VENT_PCT_M,COVID_ACTIVE_DNR_CNT_M,COVID_ACTIVE_DNR_PCT_M,TESTED_PT_CNT_MEAN,TESTED_PT_CNT_SLOPE,TESTED_PT_CNT_STD,POSITIVITY_RATE_MEAN,POSITIVITY_RATE_SLOPE,POSITIVITY_RATE_STD,OUTREACH_TEST_CNT_MEAN,OUTREACH_TEST_CNT_SLOPE,OUTREACH_TEST_CNT_STD,OUTREACH_POSITIVITY_MEAN,OUTREACH_POSITIVITY_SLOPE,OUTREACH_POSITIVITY_STD,COVID_PT_CNT_MIDNIGHT_MEAN,COVID_PT_CNT_MIDNIGHT_SLOPE,COVID_PT_CNT_MIDNIGHT_STD,COVID_NEW_ADM_MEAN,COVID_NEW_ADM_SLOPE,COVID_NEW_ADM_STD,COVID_DISCHARGE_MEAN,COVID_DISCHARGE_SLOPE,COVID_DISCHARGE_STD,COVID_DISCHARGE_PCT_MEAN,COVID_DISCHARGE_PCT_SLOPE,COVID_DISCHARGE_PCT_STD
2020-06-01,1,547,328,1,0.3,1,100,0,0,0,0,1,100,9,0,0,9,9,9,1,0,0,0,0,0,0,0,5,56,44.44,8,0,0,8,100,1,1,100,0,0,0,0,226.2,14.5,70.03,0.87,-0.42,0.82,34.6,-11.3,44.07,0,0,0,8,0.4,0.71,0.6,0.2,0.55,0.2,0.1,0.45,2.22,1.11,4.97
2020-06-02,2,529,290,3,1.03,1,100,0,0,0,0,1,33.33,13,1,7.69,8,10,9,1,0,1,10,0,0,0,1,4,44,50.22,8,0,0,8,100,1,1,100,0,0,0,0,242.8,21.5,74.07,0.69,-0.07,0.6,33.4,-20.3,44.68,1.54,1.54,3.44,8.4,0.3,0.55,0.8,0.1,0.45,0.4,0.2,0.55,4.22,2,5.8
2020-06-03,3,529,236,3,1.27,0,0,0,0,0,0,0,0,59,1,1.69,6,9,9,0,0,0,0,0,0,0,0,4,44,50.22,6,0,0,6,100,3,1,33.33,2,66.67,0,0,237,26.8,73.02,0.64,0.3,0.52,22.6,8.7,20.74,1.88,1.11,3.33,8.6,0.3,0.55,0.6,0,0.55,0.4,0,0.55,4.22,-0.11,5.8
2020-06-04,4,554,207,1,0.48,1,100,0,0,0,0,1,100,119,0,0,9,10,10,1,0,0,0,0,0,0,0,5,50,51.7,7,0,0,7,100,3,0,0,3,100,0,0,245.8,-1.4,63.96,0.74,0.07,0.4,44,24.8,46.4,1.88,0.17,3.33,9,0.4,0.71,0.8,-0.1,0.45,0.4,-0.2,0.55,4.22,-2.22,5.8
2020-06-05,5,547,317,4,1.26,1,100,0,0,0,0,1,25,33,2,6.06,5,11,11,1,0,0,0,0,0,0,0,5,45,52.73,9,0,0,9,100,2,0,0,2,100,0,0,275.6,-10.5,52.3,0.87,0.14,0.45,46.6,15.4,45.06,3.09,0.44,3.57,9.6,0.5,0.89,0.8,0,0.45,0.2,-0.1,0.45,2,-1,4.47
2020-06-06,6,521,144,0,0,0,0,0,0,0,0,0,0,13,0,0,2,11,10,0,0,1,9.09,0,0,0,1,5,50,54.3,9,0,0,9,100,1,0,0,1,100,0,0,238.8,-21.1,68.45,0.81,-0.21,0.55,47.4,-2.6,44.26,3.09,-1.1,3.57,9.8,0.4,0.84,0.6,-0.1,0.55,0.4,0,0.55,3.82,-0.18,5.24
2020-06-07,0,519,167,1,0.6,0,0,0,0,0,0,0,0,6,0,0,7,11,11,1,0,0,0,0,0,0,0,6,55,55.45,11,0,0,11,100,0,0,0,0,0,0,0,214.2,-20.1,67.55,0.72,-0.18,0.54,46,-21.2,45.71,1.55,-0.34,2.63,10.2,0.4,0.84,0.6,0.1,0.55,0.2,0.1,0.45,1.82,0.91,4.07
2020-06-08,1,532,364,1,0.27,0,0,0,0,0,0,0,0,17,0,0,6,12,11,1,0,1,8.33,1,0,0,0,5,45,56,11,0,0,11,100,0,0,0,0,0,0,0,239.8,16.4,96.1,0.52,-0.11,0.47,37.6,-23.1,46.57,1.21,-0.61,2.71,10.6,0.2,0.55,0.8,0,0.45,0.4,0.2,0.55,3.48,1.67,4.78
2020-06-09,2,540,290,0,0,0,0,0,0,0,0,0,0,224,0,0,5,11,10,0,0,1,9.09,0,0,0,1,5,50,55.3,10,0,0,10,100,0,0,0,0,0,0,0,256.4,16.6,96.18,0.43,-0.23,0.53,58.6,38.6,92.99,1.21,-1.21,2.71,10.6,-0.1,0.55,0.6,-0.1,0.55,0.6,0.2,0.55,5.3,1.74,4.85
2020-06-10,3,541,267,3,1.12,1,100,0,0,0,0,1,33.33,113,0,0,4,11,10,1,0,1,9.09,1,0,0,0,5,50,57.4,10,0,0,10,100,0,0,0,0,0,0,0,246.4,36.9,90.75,0.4,0.16,0.47,74.6,41.8,94.36,0,0,0,10.4,-0.1,0.55,0.6,0.1,0.55,0.8,0.1,0.45,7.12,0.91,3.99
